vid,occlusion_accuracy,survival,median_traj_error,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,num_frames,num_points
0,0.8033467202141901,87.85177053746477,4.626697921697462,0.33549973651853154,0.2030769230537804,0.6126822413490252,0.41419959806909584,0.782891269980678,0.5660881174060097,0.8900404004918321,0.6712046856623073,0.9286843492007729,0.7118534132135798,0.5132845474809546,0.7099595995081679,250.0,30.0
1,0.9200803212851406,97.42043551088777,2.00608951686221,0.5290858725761773,0.3520373431535508,0.7931185303980172,0.6375736159437486,0.8577052048403557,0.7238685677961725,0.8934246974777664,0.7650120603319777,0.9437235748651407,0.8404818638018954,0.663794690205469,0.8034115760314915,250.0,30.0
2,0.655421686746988,99.73809523809524,2.298188058237692,0.37624620719549196,0.21276860014746382,0.5635023840485479,0.33918529689491356,0.7557433896835717,0.4599282295963026,0.9371478110099697,0.5692703309917598,0.9679237104464673,0.5710378116538958,0.43043805385686706,0.7201127004768098,250.0,30.0
3,0.7900937081659973,95.49089906232763,9.875122806739926,0.25929438543247346,0.1513619124064634,0.5041729893778453,0.3337771268361367,0.7488619119878603,0.5452722504172031,0.8592564491654021,0.6147646678570656,0.9108497723823976,0.6476973683145234,0.45857466516627843,0.6564871016691958,250.0,30.0
4,0.8384203480589023,94.30692085185481,3.625736617558821,0.45781352593565333,0.3018683466976028,0.6503611293499671,0.48974518328281597,0.8223900196979645,0.6908860044172,0.8759028233749179,0.7311859019599616,0.9198949441891004,0.7468299080677991,0.5921030688850759,0.7452724885095207,250.0,30.0
5,0.9281124497991968,94.50964608655988,6.187499076457775,0.32199471598414797,0.18554239875997494,0.5691875825627477,0.3828246825147221,0.8011889035667107,0.6365673608441118,0.9291611624834875,0.8142627501367437,0.9605350066050198,0.8607613907582792,0.5759917166027664,0.7164134742404228,250.0,30.0
6,0.9497991967871486,97.5085910652921,1.6632398867636335,0.46445497630331756,0.3032422723978408,0.7185121355737469,0.5575011296252258,0.9036334913112164,0.8093175851956276,0.9787447939106707,0.9269042626237729,0.9882234668964527,0.938282018706835,0.7070494537098604,0.8107137727990809,250.0,30.0
7,0.8480589022757697,97.64390896921017,6.559195903687311,0.36656328459607146,0.22933980761701933,0.618520159503766,0.44670329665420844,0.8009156697681288,0.6549340036888832,0.8945502879929109,0.7381832584185128,0.9450598139122729,0.8063940723372126,0.5751108877431672,0.72512184315463,250.0,30.0
8,0.8331994645247657,98.29986613119142,4.05648684049794,0.3204920686306248,0.2015931372343144,0.5794755584331499,0.4336541975833247,0.8133700226610554,0.6835026469189437,0.8951116866299773,0.7161610267333487,0.909841372612496,0.729531089118105,0.5528884195176074,0.7036581417934606,250.0,30.0
9,0.9170013386880856,95.46629994443072,4.634177191635315,0.31538026576194517,0.19523934539290808,0.5674300254452926,0.4162173371613213,0.742013005371784,0.6188218560366455,0.8893129770992366,0.8208238900385516,0.927622278767317,0.8431848851763583,0.5788574627611569,0.6883517104891151,250.0,30.0
10,0.779384203480589,99.54436450839329,1.4345035061546292,0.5417584279180078,0.3505154638790836,0.6805014399457903,0.48200746173041187,0.7975605624258851,0.6033854165881009,0.891580552261562,0.6820106541890437,0.9227511434863629,0.6956761221845668,0.5627190237142414,0.7668304252075216,250.0,30.0
