vid,occlusion_accuracy,survival,median_traj_error,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,num_frames,num_points
cows,0.9902912621359223,100.0,1.3185532569885254,0.4343137254901961,0.2769423557162015,0.8166666666666667,0.6870860921464519,0.9549019607843138,0.9100281153607983,1.0,0.9902343740329741,1.0,0.9902343740329741,0.7709050622578799,0.8411764705882353,104.0,10.0
gold-fish,0.8927159796725014,100.0,2.9498058816661006,0.21473951715374842,0.12357902452380674,0.44472681067344344,0.29391891879479776,0.7420584498094028,0.5892116179516537,0.8786531130876747,0.755873925068267,0.9714104193138501,0.864881314141886,0.5254929600960823,0.6503176620076239,78.0,23.0
paragliding-launch,0.7800632911392406,92.72422373688197,6.321933746337891,0.1106145251396648,0.06003811942184304,0.29832402234636873,0.17582804785911627,0.6558659217877095,0.4661687168426324,0.8458100558659218,0.6381934213852757,0.9391061452513967,0.7183316165199116,0.4117119844057558,0.5699441340782123,80.0,24.0
camel,0.9887640449438202,100.0,1.66232697168986,0.3326923076923077,0.19907940138195696,0.5923076923076923,0.41768707426165025,0.8884615384615384,0.7903780055148144,1.0,0.9885496164340656,1.0,0.9885496164340656,0.6768487428053105,0.7626923076923078,90.0,6.0
blackswan,1.0,100.0,0.5247054100036621,0.8775510204081632,0.7818181789752067,1.0,0.9999999959183674,1.0,0.9999999959183674,1.0,0.9999999959183674,1.0,0.9999999959183674,0.9563636325297352,0.9755102040816326,50.0,5.0
dog,0.8813559322033898,100.0,2.34505738152398,0.19444444444444445,0.0980645160024974,0.5707070707070707,0.3572567777396224,0.7651515151515151,0.547272726277686,0.9292929292929293,0.7546391737017749,1.0,0.8621444182447606,0.5238755223932683,0.6919191919191918,60.0,9.0
bike-packing,0.8194444444444444,97.52777777777779,3.238756603664822,0.19576059850374064,0.10737294194175165,0.3940149625935162,0.2475806449616285,0.7094763092269327,0.5439121751058761,0.8790523690773068,0.7037444926170214,0.9389027431421446,0.7480225980248332,0.4701265705302221,0.6234413965087281,69.0,18.0
shooting,0.7448717948717949,97.27767695099818,7.960887708162007,0.14722222222222223,0.08020477802012836,0.3111111111111111,0.17657992532234215,0.5083333333333333,0.2971311469321083,0.6944444444444444,0.40666666576296295,0.8611111111111112,0.521634614130686,0.29644342603364554,0.5044444444444445,40.0,20.0
lab-coat,0.8078260869565217,99.625,1.936707763671875,0.36721311475409835,0.255125284544324,0.5180327868852459,0.39847715702328496,0.6961748633879782,0.5971014486984526,0.8010928961748633,0.6953846146714004,0.9442622950819672,0.7566418695466081,0.5405460748968139,0.6653551912568305,47.0,25.0
kite-surf,0.9370008873114463,96.18456078083408,1.4281531624172046,0.35403726708074534,0.21345191761342305,0.7613132209405501,0.6063281820409653,0.9511978704525288,0.8802756237034662,0.9795918367346939,0.9233480168076228,0.9893522626441881,0.9250440908950227,0.7096895662121001,0.8070984915705413,50.0,23.0
bmx-trees,0.7056962025316456,96.20825743776564,2.9933300018310547,0.18112889637742208,0.09285714281568878,0.45408593091828137,0.2631578946010537,0.7607413647851727,0.49724770611789126,0.8963774220724515,0.5989549310261562,0.9393428812131424,0.6105263153878115,0.41254879798972033,0.646335299073294,80.0,24.0
dance-twirl,0.8783585735222277,100.0,2.603061178456182,0.2158273381294964,0.12260928957561158,0.5809352517985612,0.41437177262720665,0.8723021582733813,0.770059234911115,0.9418465227817746,0.8261111106521605,0.9808153477218226,0.8487064112211999,0.5963715637974587,0.7183453237410072,90.0,23.0
car-shadow,0.9507692307692308,100.0,1.0226288604736329,0.5714285714285714,0.3922651930089639,0.9212283044058746,0.8327272717179064,1.0,0.9384615372583827,1.0,0.9384615372583827,1.0,0.9384615372583827,0.8080754153004037,0.8985313751668892,40.0,25.0
libby,0.5916666666666667,74.71148459383753,13.422270202636719,0.09316770186335403,0.059760955937207344,0.22981366459627328,0.15151515085924178,0.4409937888198758,0.32999999835,0.4968944099378882,0.37823834000912776,0.6149068322981367,0.3854166646592882,0.260986221962973,0.3751552795031056,49.0,5.0
scooter-black,0.8057644110275689,100.0,2.5951588279322575,0.23667100130039012,0.15058236260350882,0.4811443433029909,0.35190615801377695,0.7074122236671001,0.5823798620338904,0.9063719115734721,0.7753530156927433,0.9674902470741222,0.798439530821275,0.5317321858330388,0.659817945383615,43.0,19.0
mbike-trick,0.8425641025641025,99.25763125763126,2.972833557128906,0.25016414970453055,0.1468774093497003,0.43860801050558107,0.2834339947008482,0.7117531188443861,0.5535248038884988,0.8739330269205515,0.7551622414423821,0.9422193040052528,0.8129189513632425,0.5103834801489344,0.6433355219960604,79.0,25.0
loading,0.9228039041703638,99.29015084294588,3.6533106928286343,0.24273858921161826,0.1405405404561318,0.5311203319502075,0.3661870500962683,0.7520746887966805,0.6134239586971758,0.9004149377593361,0.8330115822075177,0.9585062240663901,0.9047141415198454,0.5715754545953878,0.6769709543568465,50.0,23.0
horsejump-high,0.9494232475598935,96.19565217391305,2.581813148830248,0.28532853285328535,0.16889363967456245,0.6111611161116112,0.44834437056401033,0.8613861386138614,0.7708502018049795,0.9567956795679567,0.9017391296506615,0.9783978397839784,0.9234828487920115,0.642662038097245,0.7386138613861386,50.0,23.0
avg,0.8687602284268051,96.65584235527416,4.305333287462352,0.31179266150163415,0.204713336432489,0.5680836156022192,0.42680993819666724,0.7816823312646637,0.6650005937985013,0.8785270737912415,0.7729271494567094,0.9334819112083856,0.8029393176167692,0.5744780671002272,0.6947135186736288,66.63333333333334,17.933333333333334
